Australian Bureau of Statistics,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Census - Counting Persons, Place of Usual Residence (MB)",,,,,,,,,,,,,,,
SA2 (UR) by HEAP - 1 Digit Level by CITP Australian Citizenship,,,,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,,,,
CITP Australian Citizenship,Australian,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SA2 (UR),Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total,pop,bach.count,bach
Bundaberg North - Gooburrum,36,53,361,311,1038,2008,11,807,166,392,1047,6240,4801,450,9.373047282
Mukinbudin,18,21,150,114,385,1001,4,267,57,116,482,2612,2014,189,9.384309831
Wattle Range,19,32,164,168,504,1015,0,318,89,128,573,2991,2290,215,9.388646288
Warnbro,80,74,455,556,1734,2905,3,466,201,271,1843,8589,6475,609,9.405405405
Banana,42,68,422,331,1144,2602,8,843,190,305,1678,7639,5656,532,9.405940594
Peterborough - Mount Remarkable,23,58,279,293,748,1658,7,635,122,294,734,4842,3814,360,9.438909282
Somerset,29,36,190,206,627,1041,5,456,104,245,636,3582,2701,255,9.440947797
Churchill - Yamanto,57,47,316,415,1245,1800,11,424,126,164,1503,6115,4448,420,9.442446043
Northam,92,72,464,515,1478,3034,9,737,243,538,1837,9020,6645,628,9.450714823
Yarriambiack,35,61,336,390,965,1814,3,821,137,454,957,5978,4567,432,9.459163565
Leinster - Leonora,31,33,164,112,479,909,4,563,109,414,752,3576,2410,228,9.460580913
Roma Region,19,21,325,365,696,1682,5,609,133,232,1145,5234,3857,365,9.463313456
Lurnea - Cartwright,101,32,478,520,1000,2882,20,1032,404,451,2265,9171,6455,611,9.465530596
Salisbury East,148,119,857,1012,2823,5193,17,1197,491,598,2893,15357,11866,1124,9.472442272
Northern Midlands,29,26,175,204,429,1073,5,415,75,230,589,3247,2428,230,9.472817133
Colyton - Oxley Park,130,55,499,538,1470,3239,8,965,315,335,2041,9596,7220,684,9.473684211
Edmonton,60,61,490,537,1805,2673,12,567,238,324,2608,9381,6449,611,9.474337107
Port Kembla - Warrawong,110,56,427,474,1227,2288,15,1263,393,498,1552,8303,6253,593,9.483447945
Svensson Heights - Norville,24,46,302,223,904,1630,9,654,139,293,906,5121,3922,372,9.484956655
Whyalla,156,113,1067,866,3583,6273,21,1570,390,997,3793,18838,14048,1336,9.510250569
Jacobs Well - Alberton,37,20,178,176,693,971,4,292,91,130,590,3191,2471,235,9.510319709
Dowerin,21,34,189,165,505,1293,0,288,66,198,746,3508,2564,244,9.516380655
Mornington - Warrane,38,33,230,207,655,1382,4,519,106,275,801,4238,3162,301,9.519291588
Fyshwick,0,0,4,0,4,15,0,8,0,0,3,45,42,4,9.523809524
Wellington,63,50,379,422,1153,1984,14,923,182,504,1429,7092,5159,492,9.536731925
Inala - Richlands,123,57,684,620,1327,4100,20,1498,620,752,3144,12955,9059,864,9.537476543
Mudgee Region - East,34,22,161,149,549,849,0,428,86,189,501,2965,2275,217,9.538461538
Broadsound - Nebo,31,51,357,260,1357,1955,7,446,126,268,1635,6504,4601,439,9.541404043
Kerang,13,36,205,195,556,1035,7,541,81,275,558,3495,2662,254,9.541697971
Kelso,70,76,490,575,1690,2959,5,614,168,280,2412,9349,6657,636,9.553853087
Kilcoy,40,43,234,285,728,1388,6,488,106,272,881,4471,3318,317,9.553948162
Bargo,58,46,264,367,1073,1437,0,454,157,178,1136,5165,3851,368,9.555959491
Gilgandra,32,17,230,190,623,1156,9,569,99,281,766,3965,2918,279,9.561343386
Rochester,28,43,186,199,579,1079,3,496,79,250,615,3552,2687,257,9.564570153
Broken Hill,168,172,809,773,2794,4503,34,2388,371,1275,2709,15989,12005,1149,9.571012078
South Mackay,30,47,348,265,1202,1870,9,546,125,259,1027,5725,4439,425,9.57422843
Far Central West,20,15,100,79,295,657,7,218,34,78,326,1814,1410,135,9.574468085
Mount Hutton - Windale,79,68,426,470,1300,2231,13,1163,229,496,1618,8092,5978,573,9.585145534
Northern Beaches,51,41,315,318,1233,1680,5,463,129,265,1049,5557,4243,407,9.592269621
Condobolin,32,53,308,284,745,1809,10,721,145,403,1255,5754,4096,393,9.594726563
Bulahdelah - Stroud,44,33,241,282,769,1232,5,561,138,277,714,4303,3312,318,9.601449275
Lithgow,106,102,597,599,2025,3281,18,1311,322,639,1946,10944,8359,805,9.630338557
Inglewood - Waggamba,19,25,222,233,484,1206,0,472,94,201,750,3713,2762,266,9.63070239
Chittering,37,46,252,337,917,1500,0,262,120,206,966,4650,3478,335,9.631972398
Central Highlands - West,29,46,395,342,1149,2227,0,556,133,261,1606,6743,4876,470,9.6390484
Maitland - West,209,149,1080,1226,4147,5690,28,1919,454,795,4846,20551,14910,1438,9.64453387
Seville Grove,65,39,444,541,1507,2482,9,405,188,193,2333,8201,5675,548,9.656387665
White Rock,30,25,207,227,721,1140,4,260,105,255,907,3872,2710,262,9.667896679
Nambucca Heads,50,65,334,382,1062,1759,14,756,212,493,858,5991,4640,449,9.676724138
Upper Yarra Valley,0,6,6,17,28,47,0,14,6,8,24,156,124,12,9.677419355
Loddon,35,78,336,371,982,1752,12,940,129,452,988,6076,4636,449,9.685073339
College Grove - Carey Park,29,60,305,281,955,1800,3,465,163,267,941,5272,4064,394,9.69488189
Northampton - Mullewa - Greenough,32,38,302,288,822,1802,0,412,129,296,965,5095,3834,372,9.702660407
Cobar,38,27,207,154,727,1127,5,430,74,241,881,3925,2803,272,9.703888691
Innisfail,67,56,434,362,1325,2350,11,928,205,505,1574,7818,5739,557,9.70552361
Calista,51,44,318,313,985,1919,6,448,163,337,1389,5979,4253,413,9.710792382
Corowa Region,44,56,334,360,1035,1804,9,677,154,376,1106,5951,4469,434,9.71134482
Austins Ferry - Granton,39,35,206,268,718,1230,4,277,92,109,731,3709,2869,280,9.759498083
Mount Gambier - West,105,123,708,613,2280,4040,22,1381,315,577,2437,12603,9589,936,9.761184691
Ceduna,6,13,137,119,341,697,0,234,43,137,453,2188,1598,156,9.762202753
Cranbourne,174,150,809,1114,2726,4524,23,1576,494,749,3631,15970,11590,1133,9.77566868
Carnarvon,23,28,230,184,604,1299,3,367,126,246,896,4016,2874,281,9.777313848
Port Kennedy,100,80,582,801,2049,3403,0,522,250,434,2764,10975,7777,762,9.798122669
Tully,74,84,502,478,1659,2944,3,798,203,552,1600,8882,6730,660,9.806835067
Roebuck,15,21,87,45,225,706,0,128,27,167,602,2023,1254,123,9.80861244
Eaton - Pelican Point,72,92,560,585,2070,3146,7,606,250,404,2199,9984,7381,724,9.808968974
Cambridge Park,198,73,762,891,2626,4360,16,1178,422,423,3055,14008,10530,1033,9.810066477
Morphett Vale - East,109,105,710,825,2377,4115,6,835,321,467,2171,12045,9407,924,9.822472627
Bundaberg,48,36,281,241,766,1652,8,560,114,292,792,4795,3711,365,9.835623821
Walgett - Lightning Ridge,44,30,313,288,641,1690,11,780,144,405,1127,5464,3932,387,9.84231943
West Wyalong,35,37,293,236,818,1573,5,595,127,321,1087,5115,3707,365,9.846236849
Outback,13,19,132,123,455,665,8,190,57,151,265,2081,1665,164,9.84984985
Cowra,65,72,478,439,1356,2447,24,1138,224,522,1518,8280,6240,615,9.855769231
North Ipswich - Tivoli,53,58,306,378,1020,1703,3,559,143,282,1148,5658,4228,417,9.8628193
Narrandera,33,49,293,270,785,1540,5,674,135,426,1042,5263,3795,375,9.881422925
Camillo - Champion Lakes,53,40,239,280,809,1526,5,267,126,164,923,4437,3350,332,9.910447761
Woodford - D'Aguilar,62,65,316,417,1145,1831,4,494,135,345,1133,5948,4470,443,9.910514541
Hackham - Onkaparinga Hills,56,52,335,390,1165,1941,8,383,151,201,1063,5729,4465,443,9.921612542
Rockingham,123,102,724,857,2455,4052,14,882,345,702,1674,11934,9558,949,9.928855409
Millbank - Avoca,57,57,382,324,1088,2050,12,861,153,406,1206,6602,4990,496,9.93987976
Halls Creek,28,17,101,51,180,673,6,306,103,513,771,2752,1468,146,9.945504087
Scone Region,58,40,426,417,1318,1981,7,820,185,419,1505,7183,5259,524,9.963871458
Loxton,31,55,291,303,801,1545,0,642,110,263,921,4966,3782,377,9.968270756
Nowra,185,163,878,1138,3235,4485,35,1744,437,1066,3664,17029,12299,1226,9.968290105
Beauty Point - Beaconsfield,50,32,176,212,578,1043,8,397,95,249,503,3337,2585,258,9.98065764
Bundamba,78,75,403,492,1289,2348,9,691,183,348,1461,7378,5569,556,9.983839109
Inverell Region - West,28,42,322,297,791,1582,7,706,140,394,1014,5325,3917,392,10.00765892
Pittsworth,29,46,304,294,824,1572,0,593,125,211,1102,5099,3786,379,10.01056524
South West Rocks,39,44,289,299,953,1306,9,600,171,315,640,4668,3713,372,10.01885268
Jimboomba,197,176,1188,1513,4344,6477,12,1153,514,616,5869,22065,15580,1561,10.01925546
Ashfield - Kepnock,37,41,275,261,845,1486,4,485,93,246,956,4725,3523,353,10.01986943
Glenelg (Vic.),69,105,434,497,1382,2367,9,1037,161,480,1244,7789,6065,608,10.02473207
Meadow Heights,110,72,662,656,1099,3620,20,1634,543,523,2817,11759,8419,844,10.02494358
Burpengary - East,30,31,221,286,782,1100,3,243,101,67,736,3610,2807,282,10.04631279
Woree,30,29,231,244,699,1211,3,322,115,227,813,3924,2884,290,10.0554785
Kirwan - East,58,54,408,392,1244,2297,11,578,131,314,1387,6872,5171,520,10.056082
Rosedale,30,31,199,242,706,961,3,336,70,189,675,3449,2585,260,10.05802708
Wynyard,65,61,302,319,952,1673,0,745,143,327,933,5514,4254,428,10.06111895
Austral - Greendale,71,33,475,405,1227,2238,0,985,312,369,1487,7610,5754,579,10.06256517
Toukley - Norah Head,84,81,498,588,1673,2470,10,902,268,637,1387,8609,6585,663,10.06833713
Craigieburn - Central,97,53,331,416,1036,1996,5,637,190,252,1492,6518,4774,481,10.07540846
Belmont South - Blacksmiths,48,43,329,354,1068,1532,3,613,163,269,805,5237,4163,420,10.08887821
Colac,91,112,628,693,1877,3100,18,1394,320,663,2072,10963,8228,831,10.0996597
Roebourne,35,29,232,235,1000,1091,10,232,70,194,1070,4194,2930,296,10.10238908
Corowa,42,44,293,288,910,1500,4,549,124,381,839,4969,3749,379,10.1093625
South Hedland,48,66,349,361,1471,1839,3,301,142,291,1815,6685,4579,463,10.11137803
Griffith Region,73,83,663,528,1711,3392,18,1327,298,558,2448,11097,8091,819,10.12235818
Wulguru - Roseneath,39,49,280,257,832,1649,11,429,90,162,823,4618,3633,368,10.12936967
Doveton,101,49,424,513,974,2270,17,988,335,502,1638,7806,5666,574,10.1306036
Oberon,44,28,229,220,678,1223,11,419,114,205,696,3871,2970,301,10.13468013
Dapto - Avondale,263,190,1185,1395,4175,6088,17,2214,644,961,4223,21345,16161,1638,10.13551142
Gosnells,200,97,859,916,2552,5167,15,1143,445,721,3355,15471,11395,1156,10.14480035
Elimbah,26,41,207,227,746,1125,0,245,83,115,729,3544,2700,274,10.14814815
Port Pirie Region,16,30,187,179,539,918,3,349,80,154,610,3057,2293,233,10.16136066
Windang - Primbee,63,38,206,260,712,1066,9,549,117,253,546,3819,3020,307,10.16556291
St Arnaud,21,34,191,175,478,976,8,468,78,219,461,3098,2418,246,10.17369727
Condon - Rasmussen,82,67,544,506,1705,2963,17,748,176,355,2166,9330,6809,693,10.17770598
Eden,28,28,161,168,461,871,7,333,87,247,455,2833,2131,217,10.18301267
California Gully - Eaglehawk,88,150,562,598,1927,2937,19,1319,247,622,2163,10630,7845,800,10.19757808
Kyabram,64,103,577,632,1695,2716,17,1254,230,602,1877,9768,7289,744,10.20716148
Kin Kora - Sun Valley,26,28,186,175,693,962,9,199,66,87,719,3157,2351,240,10.20842195
Tocumwal - Finley - Jerilderie,55,67,528,487,1449,2473,10,1070,220,619,1491,8465,6355,650,10.2281668
