Australian Bureau of Statistics,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Census - Counting Persons, Place of Usual Residence (MB)",,,,,,,,,,,,,,,
SA2 (UR) by HEAP - 1 Digit Level by CITP Australian Citizenship,,,,,,,,,,,,,,,
Counting: Persons Place of Usual Residence,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
Default Summation,Persons Place of Usual Residence,,,,,,,,,,,,,,
CITP Australian Citizenship,Australian,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SA2 (UR),Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total,pop,bach.count,bach
Jilliby - Yarramalong,75,38,303,275,514,770,0,181,104,105,585,2954,2264,416,18.3745583
Runaway Bay,198,106,808,714,1226,2303,4,445,260,389,967,7407,6051,1112,18.37712775
Lismore,295,246,1399,828,2256,3833,22,1295,397,532,2391,13476,10553,1940,18.38339809
Bracken Ridge,308,222,1515,1234,2396,4266,13,839,319,337,3035,14488,11116,2045,18.39690536
Mount Barker,342,262,1559,1327,2525,4396,12,873,449,571,3404,15724,11749,2163,18.41007745
Moyne - West,178,172,804,646,1351,2153,0,797,164,444,1683,8394,6267,1154,18.41391415
Moss Vale - Berrima,245,145,811,647,1464,2194,6,681,318,373,1666,8548,6509,1201,18.45137502
Gidgegannup,61,34,250,213,437,724,0,94,61,70,458,2397,1869,345,18.45906902
Mountain Creek,174,141,942,796,1621,2577,8,333,219,192,2268,9264,6804,1257,18.47442681
Bega-Eden Hinterland,183,172,781,615,1497,2013,9,623,267,405,1366,7918,6147,1136,18.48055962
The Basin,81,86,370,347,717,1035,0,208,72,107,819,3828,2902,537,18.50447967
Auburn - South,181,48,632,387,446,2014,5,597,337,255,1578,6481,4648,861,18.52409639
Turners Beach - Forth,56,49,313,193,519,809,5,256,59,105,517,2878,2256,418,18.52836879
Orange Region,264,133,1036,791,1755,2582,11,863,302,449,2388,10571,7734,1433,18.52857512
Seaton - Grange,361,201,1533,1046,1995,4404,12,1290,455,710,2262,14274,11302,2095,18.5365422
Yass,130,95,574,406,923,1573,3,432,161,395,1230,5929,4304,799,18.56412639
Durack - Marlow Lagoon,73,74,333,306,708,909,0,104,69,67,946,3596,2583,480,18.58304297
Morley,380,219,1844,1209,2563,5202,11,1136,567,581,2912,16637,13144,2443,18.58642727
Huntingdale - Southern River,382,168,1394,1072,2233,4257,9,592,350,327,3973,14758,10458,1944,18.58864028
Durack,157,62,632,422,717,1825,3,491,263,267,1233,6078,4578,851,18.58890345
Blacktown (North) - Marayong,476,104,1443,988,1911,4109,15,1325,502,516,3188,14574,10870,2023,18.61085557
Murwillumbah Region,184,150,856,708,1473,2139,13,637,242,426,1524,8342,6392,1190,18.61702128
Hazelmere - Guildford,78,55,359,271,599,1009,0,170,104,97,718,3456,2641,492,18.62930708
Flinders Park,264,174,1397,924,1705,3794,3,1191,403,484,2058,12392,9850,1835,18.62944162
West Moonah,76,49,355,200,491,1030,6,262,102,113,625,3313,2575,480,18.6407767
Ardeer - Albion,128,86,508,372,636,1383,4,569,179,322,925,5113,3866,722,18.67563373
Eumundi - Yandina,205,156,955,790,1752,2412,6,546,224,293,1879,9214,7042,1316,18.68787276
Ferntree Gully (South) - Upper Ferntree Gully,303,222,1349,1132,2205,3585,7,920,309,380,2501,12905,10024,1874,18.69513168
Niagara Park - Lisarow,168,112,749,633,1279,1924,0,439,200,220,1581,7303,5502,1029,18.70229008
Heathcote - Waterfall,170,98,600,534,1131,1482,4,383,241,264,1231,6126,4631,868,18.743252
Glendale - Cardiff - Hillsborough,566,315,2237,1551,3928,5567,33,1822,618,804,4359,21794,16631,3118,18.74812098
Altona North,250,175,1182,704,1307,2918,6,1572,452,562,2185,11318,8571,1607,18.7492708
Beeliar - Wattleup,136,92,691,492,1141,1880,4,294,169,166,1642,6707,4899,919,18.75893039
Boronia,436,349,1958,1679,3254,5081,15,1345,491,781,3427,18818,14610,2743,18.77481177
Wagga Wagga - West,286,142,1112,569,1697,3079,12,999,305,468,1713,10383,8202,1540,18.77590832
Point Nepean,340,313,1568,1422,2556,4068,12,1135,403,863,2420,15100,11817,2221,18.79495642
Paradise Point - Hollywell,214,99,888,729,1317,2407,5,458,268,319,1133,7832,6380,1201,18.82445141
Cleveland,324,192,1365,1172,2025,3755,13,766,380,535,1831,12357,9991,1881,18.82694425
Regents Park,117,26,401,274,337,1170,5,367,192,117,855,3860,2888,544,18.8365651
Zillmere,153,84,764,550,1085,1991,7,513,167,276,1242,6829,5311,1001,18.84767464
Bathurst Region,154,141,547,470,1156,1412,4,396,196,296,1140,5903,4467,842,18.8493396
Greenvale - Bulla,314,168,1623,1143,1891,4439,8,1129,450,397,2938,14497,11162,2105,18.85862749
Golden Grove,218,169,983,856,1402,2983,6,423,216,236,1715,9211,7260,1370,18.87052342
Biggera Waters,173,85,676,554,1007,1873,5,393,190,319,869,6125,4937,934,18.91837148
Coolangatta,115,77,563,405,817,1490,3,356,152,253,409,4647,3985,755,18.94604768
Deagon,63,59,338,231,539,865,0,259,76,124,590,3137,2423,460,18.98472967
West Lakes,356,225,1424,1104,1950,4020,6,1030,437,483,1714,12753,10556,2005,18.9939371
Wagga Wagga - East,381,238,1526,1057,2657,3879,10,1120,410,487,3259,15035,11289,2145,19.00079724
Mundaring,217,223,1197,959,2024,3160,0,516,306,389,2281,11274,8604,1637,19.0260344
No Usual Address (Vic.),134,84,454,302,696,1311,10,407,137,273,548,4353,3532,672,19.02604757
Parrearra - Warana,181,124,897,652,1331,2365,0,523,254,346,1482,8144,6316,1202,19.0310323
Augusta,64,69,527,331,817,1291,3,251,119,225,906,4598,3467,660,19.03663109
Kanimbla - Mooroobool,173,114,834,579,1335,2177,8,454,211,334,1788,8007,5885,1121,19.04842821
Deer Park - Derrimut,443,163,2031,1323,2161,5229,16,1747,719,736,5097,19670,13837,2637,19.05759919
Bundoora - West,122,72,518,342,601,1354,0,553,171,233,654,4617,3730,712,19.08847185
Casula,361,116,1376,1025,1541,3780,6,962,525,443,2933,13069,9693,1853,19.11688848
Grovedale,370,355,2298,1836,3554,5400,9,1539,437,867,3976,20640,15797,3023,19.13654491
Mount Barker Region,140,114,576,441,1018,1616,0,277,155,232,1111,5679,4336,830,19.14206642
Belmore - Belfield,440,135,1646,1140,1512,4417,7,1502,779,599,3110,15275,11566,2221,19.2028359
Warners Bay - Boolaroo,293,187,1380,1056,2142,3124,21,1075,375,450,2200,12318,9668,1860,19.23872569
Wagaman,48,28,139,89,198,442,0,117,59,54,335,1505,1116,215,19.26523297
Ferntree Gully (North),304,227,1277,1011,2092,3240,11,915,294,476,2211,12067,9380,1808,19.2750533
Bathurst,532,357,2160,1414,3386,5762,26,1576,600,745,3972,20534,15817,3049,19.27672757
Craigieburn - North,282,103,764,722,1037,2265,4,531,251,199,2842,8998,5957,1149,19.28823233
Ashmore,270,122,1036,862,1475,2929,3,450,247,457,1737,9587,7393,1428,19.31556878
Noble Park - East,233,96,832,642,912,2173,10,772,343,414,1527,7949,6008,1161,19.32423435
Guanaba - Springbrook,96,59,373,330,673,955,0,145,94,109,662,3503,2732,528,19.32650073
Fawkner,342,131,938,541,936,2626,3,1362,415,619,2415,10332,7298,1411,19.33406413
Burleigh Waters,277,181,1325,995,1986,3414,6,708,325,494,2472,12174,9208,1783,19.36359687
Endeavour Hills - North,253,116,1096,858,1328,2858,10,719,323,394,1919,9876,7563,1465,19.37062012
Cecil Hills,135,51,744,489,714,1968,3,417,284,131,1340,6272,4801,930,19.37096438
South Lake - Cockburn Central,212,167,1009,621,1481,2894,10,477,287,311,1619,9095,7165,1388,19.37194696
Karalee - Barellan Point,114,87,509,419,931,1311,0,186,102,112,1183,4960,3665,710,19.37244202
Arundel,297,98,810,661,1213,2491,4,418,222,267,1448,7929,6214,1205,19.39169617
Gilmore,60,48,263,219,386,724,9,160,50,53,519,2485,1913,371,19.39362258
Brisbane Airport,3,0,10,5,9,28,0,3,6,0,17,84,67,13,19.40298507
Scarborough - Newport - Moreton Island,300,219,1107,997,1731,3019,5,689,305,408,1558,10343,8377,1626,19.41029008
Hillside,353,238,1854,1345,2449,4805,8,1038,476,429,4322,17335,12584,2445,19.4294342
Malak - Marrara,89,78,360,234,613,1005,7,228,109,143,727,3580,2710,527,19.44649446
Emerald - Cockatoo,346,324,1668,1424,2888,4085,7,946,336,558,3464,16035,12013,2338,19.46224923
Darling Heights,338,139,1052,698,1545,2989,12,847,234,366,2136,10354,7852,1529,19.4727458
Tamworth - North,287,234,1420,930,2114,3412,23,1142,398,625,2588,13174,9961,1941,19.48599538
Banks,113,102,454,401,660,1377,0,202,122,94,1095,4615,3426,669,19.52714536
Molendinar,123,71,556,396,770,1511,0,289,130,130,998,4967,3839,750,19.53633759
Taylors Lakes,314,209,1931,1232,2053,5052,0,1240,516,539,2553,15631,12539,2454,19.57093867
Cranbourne East,574,230,1801,1846,2816,4530,11,1088,413,572,5886,19762,13304,2605,19.58057727
Terranora - North Tumblegum,63,52,324,245,517,783,3,169,85,77,626,2944,2241,439,19.58946899
Montrose,139,124,647,536,1110,1575,4,395,110,185,1211,6037,4641,910,19.60784314
Port Macquarie - East,636,463,2722,2217,4222,6521,33,1809,864,1222,4641,25340,19477,3821,19.61801099
Cornubia - Carbrook,186,106,830,665,1338,2082,0,332,173,182,1491,7382,5709,1122,19.65317919
Warrnambool - South,251,217,1246,831,1742,3065,6,1138,226,653,1878,11252,8721,1714,19.65370944
Roselands,335,84,1250,820,1234,3243,4,970,546,342,2609,11443,8492,1669,19.6537918
Engadine,415,232,1625,1429,2838,3711,6,763,532,422,3858,15833,11553,2272,19.66588765
Charnwood,83,44,264,206,417,752,3,137,64,68,578,2631,1985,391,19.697733
Aitkenvale,91,65,441,240,639,1187,0,297,74,139,750,3918,3029,597,19.70947507
Mornington,484,476,2242,1974,3232,5666,15,1612,546,1085,3501,20829,16243,3202,19.71310718
Orange - North,428,300,1790,1265,2997,4170,19,1260,494,651,4454,17832,12727,2518,19.78470967
Glendenning - Dean Park,186,61,744,492,914,1974,4,445,187,221,1839,7067,5007,991,19.79229079
Winchelsea,128,92,558,446,888,1301,8,399,107,238,1015,5181,3928,778,19.80651731
Mernda,374,208,1235,1140,2053,3233,11,625,293,307,3873,13347,9167,1817,19.82109741
Hyde Park - Pimlico,90,54,479,290,641,1208,7,293,79,137,730,4008,3141,623,19.83444763
Port Hedland,72,62,336,275,748,728,5,87,64,118,788,3275,2369,470,19.83959477
Panania - Milperra - Picnic Point,680,254,2520,1847,3427,6267,4,1579,823,718,4891,23010,17401,3454,19.84943394
Worongary - Tallai,182,95,721,561,1125,1815,3,308,199,225,1333,6576,5018,998,19.88840175
Norwood (Tas.),72,55,427,276,512,1026,0,320,89,172,634,3588,2782,554,19.91373113
Narre Warren North,153,98,803,544,1052,1982,0,455,197,359,1325,6976,5292,1054,19.91685563
Jindabyne - Berridale,163,101,653,519,1290,1446,3,261,167,214,1157,5973,4602,917,19.92611908
Palmwoods,212,190,1027,888,1613,2494,7,503,234,305,1945,9417,7167,1429,19.93860751
Camden - Ellis Lane,317,183,1253,989,2029,2846,13,804,360,552,2487,11822,8783,1753,19.95901173
Hassall Grove - Plumpton,422,112,2036,1241,2052,5435,6,1034,498,406,4216,17463,12841,2570,20.0140176
Parkwood,216,90,772,547,1100,2177,4,305,164,150,1299,6829,5380,1078,20.03717472
Enfield - Blair Athol,507,216,1880,1086,2257,4747,17,1605,676,778,3300,17059,12981,2603,20.05238425
Cashmere,382,242,1851,1575,2809,4620,8,523,339,237,4325,16904,12342,2475,20.05347594
Theodore,115,65,361,338,537,1070,0,135,81,50,756,3502,2696,541,20.06676558
Gelorup - Stratham,55,52,306,233,517,681,0,149,67,105,586,2749,2058,413,20.06802721
Keilor,173,121,924,659,1041,2170,6,734,239,305,1355,7726,6066,1218,20.07912957
Toowoomba - Central,283,206,1320,760,1890,3288,13,942,306,530,2029,11568,9009,1809,20.07992008
Bayswater,281,169,1075,813,1540,2673,8,765,284,348,1834,9776,7594,1525,20.0816434
Currambine - Kinross,235,188,1268,916,1813,3372,4,365,263,229,2298,10942,8415,1691,20.09506833
Palm Beach,300,198,1479,1051,2293,3517,8,679,307,442,2210,12487,9835,1977,20.10167768
Charles,100,67,326,211,516,830,9,272,118,204,716,3372,2452,493,20.10603589
Blacktown (West),431,111,1337,891,1581,3512,8,1008,454,470,2733,12537,9334,1879,20.13070495
Southport - North,296,126,1161,813,1448,3116,9,630,264,500,1145,9507,7862,1583,20.13482574
Mudgeeraba - Bonogin,413,286,1567,1372,2544,4026,4,640,385,410,3733,15388,11245,2266,20.1511783
Riverwood,273,79,891,540,723,2444,10,816,392,392,1481,8041,6168,1243,20.15239948
Glenroy,496,263,1626,1097,1876,3997,17,1856,608,866,3049,15744,11829,2385,20.16231296
Boondall,220,138,862,669,1187,2249,0,531,189,247,1431,7719,6041,1220,20.1953319
Belmont - Ascot - Redcliffe,288,169,1158,804,1530,3124,9,627,287,414,1839,10249,7996,1615,20.1975988
Lobethal - Woodside,222,136,933,688,1289,2344,4,551,207,306,1505,8196,6385,1291,20.2192639
Casuarina - Wandi,92,68,478,287,818,1148,0,163,87,101,884,4132,3147,638,20.27327614
Berwick - North,524,403,2211,1830,2896,5627,13,1438,532,796,3649,19916,15471,3138,20.28311034
Noosaville,204,140,856,737,1225,2154,9,333,264,344,1027,7283,5912,1200,20.29769959
Maroochy Hinterland,142,114,648,549,946,1573,3,313,160,226,804,5481,4451,904,20.31004269
West Hoxton - Middleton Grange,319,96,1486,1049,1568,3679,11,685,459,298,3710,13355,9347,1901,20.33807639
South Bunbury - Bunbury,232,205,1178,802,1734,2789,4,711,277,420,1647,10003,7936,1615,20.35030242
Anula,63,37,190,141,328,505,0,97,55,73,496,1992,1423,290,20.37947997
Airport West,168,108,774,547,951,1687,0,696,212,277,1070,6499,5152,1050,20.38043478
Yorkeys Knob - Machans Beach,114,104,555,423,924,1286,5,222,161,181,810,4780,3789,773,20.40116126
Blacktown (South),355,86,1051,704,1161,2892,6,741,318,334,2223,9866,7309,1492,20.41318922
Shailer Park,269,174,1112,824,1773,2818,5,376,267,198,1964,9779,7617,1555,20.41486149
Rooty Hill - Minchinbury,433,124,2119,1200,2142,5101,21,1368,615,480,3721,17305,13104,2676,20.42124542
Keysborough,605,261,2400,1501,2064,6223,16,1944,971,653,4420,21065,15992,3266,20.42271136
Bright - Mount Beauty,151,195,775,650,1223,1794,7,503,189,310,1160,6955,5485,1121,20.43755697
Bendigo,356,298,1317,803,1997,3188,19,1372,295,822,2071,12530,9637,1971,20.45242295
Chipping Norton - Moorebank,514,149,1850,1296,2338,4488,4,1063,580,458,3823,16567,12286,2513,20.45417548
Aberfoyle Park,248,172,1302,968,1793,3175,8,443,295,243,1901,10557,8413,1722,20.46832283
Mermaid Waters,254,126,1196,893,1546,2907,9,501,270,354,1814,9855,7687,1576,20.50214648
Granville - Clyde,492,114,1540,1034,1275,4062,11,1192,726,489,3455,14402,10458,2146,20.52017594
Ourimbah - Fountaindale,117,57,516,405,763,1142,0,244,120,122,909,4392,3361,690,20.52960428
Revesby,391,134,1607,1052,1719,3800,5,1161,514,532,2800,13712,10380,2132,20.53949904
Unanderra - Mount Kembla,437,218,1509,1084,2293,3396,11,1111,465,565,2717,13801,10519,2164,20.57229775
Clarinda - Oakleigh South,313,133,1183,729,1159,2839,0,1085,471,401,1505,9821,7915,1629,20.58117498
Bendigo Region - South,153,182,661,528,1161,1557,9,441,136,265,1482,6580,4833,996,20.60831782
Hope Island,302,129,1005,886,1302,2655,3,382,300,288,1289,8542,6965,1436,20.61737258
North Lakes - Mango Hill,585,358,2363,2075,3556,5861,5,789,449,395,6664,23094,16035,3306,20.61739944
Merrylands - Holroyd,728,172,2315,1568,2223,5855,20,1705,1003,733,5056,21376,15587,3215,20.62616283
Paradise - Newton,488,211,1916,1131,2130,4803,5,1489,498,684,2705,16065,12676,2615,20.62953613
Armidale Region - South,205,89,561,428,900,1355,3,440,157,310,1066,5518,4142,855,20.64220183
Darra - Sumner,85,53,440,262,478,1057,3,262,156,105,714,3615,2796,578,20.67238913
Trinity Beach - Smithfield,312,204,1246,973,2086,3013,9,423,252,311,2459,11291,8521,1762,20.67832414
Seabrook,122,78,423,315,562,1142,0,281,92,122,980,4114,3012,623,20.68393094
Carrum - Patterson Lakes,268,189,1163,928,1609,2767,10,637,262,390,1747,9966,7829,1620,20.69229787
Currumbin - Tugun,233,143,1157,902,1630,2620,4,430,276,370,1574,9346,7402,1533,20.71061875
Flynn (NT),75,70,318,208,498,743,0,223,86,127,765,3122,2230,463,20.76233184
Endeavour Hills - South,345,145,1301,1030,1368,3232,9,854,345,371,2065,11053,8617,1791,20.78449576
Erina - Green Point,367,186,1411,1080,1767,3277,9,944,399,761,2105,12307,9441,1964,20.80288105
Madeley - Darch - Landsdale,472,259,2467,1716,2915,6009,9,885,634,440,5489,21294,15365,3198,20.81353726
Chisholm,167,116,473,438,706,1390,3,230,112,110,924,4665,3631,756,20.82071055
Gosford - Springfield,467,220,1895,1397,2522,4207,15,1153,523,639,2804,15837,12394,2582,20.83266096
Namadgi,0,0,5,0,14,5,0,4,0,5,6,35,24,5,20.83333333
Varsity Lakes,370,154,1290,1012,1739,3302,5,528,302,298,2375,11380,8707,1814,20.83381188
Conder,130,98,519,407,658,1444,0,213,118,95,936,4616,3585,747,20.83682008
Buddina - Minyama,153,77,696,447,1026,1585,4,310,144,203,936,5580,4441,926,20.85115965
Kuranda,118,68,399,326,664,964,0,168,103,180,759,3741,2802,585,20.87794433
South Launceston,77,71,499,243,576,1169,11,361,97,168,632,3898,3098,647,20.88444158
Sheldon - Mount Cotton,162,109,806,620,1283,1803,0,243,132,126,1794,7075,5155,1077,20.89233754
Tingalpa,179,123,882,610,1208,2086,3,396,178,187,1492,7339,5660,1184,20.91872792
Mittagong,285,122,860,642,1265,2012,9,583,272,466,1388,7900,6046,1267,20.95600397
Isabella Plains,108,77,435,353,557,1154,0,184,88,100,871,3929,2958,620,20.96010818
Waratah - North Lambton,280,161,1266,761,1745,2827,16,800,273,806,1759,10707,8142,1707,20.96536478
Bellbird Park - Brookwater,304,136,1192,929,1768,2853,5,366,239,201,3022,11006,7783,1632,20.96877811
Peregian Springs,128,102,626,599,879,1395,0,199,154,100,1672,5849,4077,856,20.99583027
Dingley Village,230,194,1078,850,1270,2680,5,622,236,315,1708,9175,7152,1502,21.00111857
Robina,614,270,2096,1768,2591,5516,3,774,540,612,3244,18033,14177,2980,21.01996191
Albury - East,306,285,1576,1079,2384,3456,14,855,344,378,3026,13705,10301,2167,21.03679254
Migratory - Offshore - Shipping (Vic.),0,0,4,4,13,3,0,0,0,0,4,23,19,4,21.05263158
Coolbellup,164,124,804,464,1006,1938,4,481,192,225,1255,6651,5171,1092,21.11777219
Hallett Cove,313,173,1312,1001,1830,3147,4,411,315,262,1890,10659,8507,1798,21.13553544
Clifton Beach - Kewarra Beach,281,161,994,852,1451,2457,4,333,252,257,1764,8803,6782,1436,21.17369508
Duntroon,44,9,244,71,153,869,0,0,15,8,131,1541,1402,297,21.18402282
Currumbin Valley - Tallebudgera,213,88,711,540,1104,1649,3,282,181,196,1307,6274,4771,1012,21.21148606
Springwood,225,129,888,643,1186,2220,8,383,181,193,1468,7512,5851,1242,21.22714066
Magnetic Island,72,39,219,175,373,533,0,96,51,89,231,1874,1554,330,21.23552124
Surfers Paradise,436,199,1893,1416,2182,4611,11,686,482,552,1313,13768,11903,2528,21.23834327
Roleystone,141,126,743,579,1091,1700,0,212,168,153,1245,6153,4755,1010,21.24079916
Prestons - Edmondson Park,480,113,1678,1236,1649,4204,6,796,525,442,4173,15305,10690,2271,21.24415341
Reedy Creek - Andrews,186,104,718,590,1029,1688,7,275,153,159,1764,6666,4743,1008,21.25237192
Brinsmead,115,94,517,466,773,1190,0,163,95,116,1102,4634,3416,726,21.2529274
Warradale,364,245,1484,959,1790,3781,10,859,350,461,1747,12052,9844,2093,21.26168224
Tamborine - Canungra,370,226,1340,1120,2040,3140,7,521,337,504,2339,11946,9103,1936,21.26771394
Kingscliff - Fingal Head,315,200,1344,995,1800,2949,12,812,294,587,2204,11524,8733,1859,21.28707203
South Morang (North),305,148,1085,810,1382,2713,7,543,232,250,2930,10402,7222,1538,21.29603988
Broulee - Tomakin,63,86,343,242,531,687,0,266,89,142,466,2918,2310,492,21.2987013
Wagga Wagga - North,107,51,481,246,625,1188,6,209,85,141,762,3903,3000,639,21.3
Queanbeyan,333,192,973,686,1358,2456,13,739,273,338,1379,8744,7027,1498,21.3177743
Greystanes - Pemulwuy,747,229,2694,1757,2932,6308,14,1683,843,744,5304,23260,17212,3670,21.32233326
Broome,237,201,1200,793,1832,2672,12,448,288,540,2766,10984,7678,1638,21.33368065
Charlestown - Dudley,599,331,2683,1702,3798,5308,22,1814,654,778,4325,22009,16906,3613,21.37111085
Algester,182,77,773,523,967,1844,3,275,180,257,1401,6486,4828,1032,21.37531069
Lalor Park - Kings Langley,745,277,2346,1633,2856,5638,15,1518,699,873,4507,21114,15734,3368,21.40587263
South Townsville - Railway Estate,113,89,523,305,740,1266,0,249,107,189,654,4229,3386,725,21.41169522
Noranda,150,118,895,593,889,2056,5,463,268,229,1097,6753,5427,1163,21.4298876
Caringbah,307,175,1197,1011,1606,2575,4,556,385,343,1992,10165,7830,1679,21.44316731
Hamilton Hill,238,170,946,569,1225,2124,4,766,273,493,1373,8178,6312,1354,21.45120406
Southport - South,442,166,1488,1073,1785,3638,3,792,385,531,1841,12143,9771,2096,21.45123324
Padstow,488,172,1707,1126,1809,4048,10,1111,557,515,2579,14126,11032,2367,21.45576505
Lord Howe Island,9,3,44,25,72,89,0,8,16,15,41,317,261,56,21.4559387
Hermit Park - Rosslea,116,87,525,330,719,1237,0,277,94,135,797,4319,3387,728,21.49394745
Largs Bay - Semaphore,438,328,1479,1043,2067,3865,3,884,327,484,2028,12950,10438,2245,21.50795171
Gordon (ACT),247,141,786,649,941,2182,3,332,181,142,1358,6954,5454,1174,21.52548588
Mooloolaba - Alexandra Headland,234,169,1253,851,1610,2847,5,446,263,302,1139,9132,7691,1656,21.53166038
Geilston Bay - Risdon,92,73,355,260,488,861,0,191,85,78,535,3022,2409,520,21.58572022
Mitchell Park,387,194,1567,863,1606,3844,6,1103,373,541,1783,12273,9949,2148,21.59010956
Otway,89,63,353,283,499,736,0,246,70,152,401,2891,2338,505,21.59965783
Riverstone - Marsden Park,514,146,1601,965,2029,3621,13,1149,431,408,3435,14305,10462,2261,21.61154655
Balcatta - Hamersley,270,239,1564,970,1816,3387,5,926,421,484,2157,12232,9591,2073,21.61401314
Ballina Region,404,310,1815,1307,2530,3643,15,1173,498,626,2863,15186,11697,2529,21.62092844
Broadbeach Waters,204,82,800,630,1014,1800,4,289,194,236,1087,6339,5016,1086,21.6507177
Moffat Beach - Battery Hill,183,139,869,588,1097,2014,5,424,172,255,1193,6945,5497,1191,21.66636347
Taylors Hill,417,184,1794,1220,1871,4183,8,946,413,392,5119,16538,11027,2395,21.71941598
Manly West,244,179,1210,807,1471,2751,5,607,228,258,2137,9912,7517,1633,21.72409206
Craigieburn - West,388,104,898,817,1115,2203,7,570,293,219,3175,9790,6396,1390,21.73233271
Mayfield - Warabrook,436,184,1638,992,2207,3510,11,1098,314,691,2084,13165,10390,2258,21.73243503
Yackandandah,116,135,437,337,766,990,3,304,80,184,860,4208,3164,688,21.74462705
Macquarie Fields - Glenfield,914,143,1874,1205,2151,5102,25,1445,561,716,4404,18530,13410,2931,21.85682327
Croydon - East,362,311,1457,1165,2048,3200,14,863,316,453,2403,12597,9741,2130,21.86633816
Berala,172,46,832,403,525,1854,4,608,344,210,1294,6302,4798,1050,21.88411838
Ludmilla - The Narrows,64,46,226,125,321,555,6,143,60,116,379,2030,1535,336,21.88925081
Bertram - Wellard (West),271,151,1091,764,1638,2495,4,288,206,209,3029,10135,6897,1513,21.93707409
Wellington Point,301,214,1225,990,1550,2936,4,464,242,219,2058,10204,7927,1740,21.95029646
Box Head - MacMasters Beach,298,192,1174,891,1614,2444,4,621,348,385,1757,9720,7578,1664,21.95830034
Rivervale - Kewdale - Cloverdale,505,254,2105,1251,2416,4881,10,1107,476,613,3086,16706,13007,2864,22.01891289
Coolum Beach,324,260,1544,1140,2298,3217,6,545,331,352,2511,12526,9663,2128,22.02214633
Croydon South,88,90,514,370,656,1052,4,262,100,117,849,4107,3141,692,22.03120025
Reservoir - West,609,411,2116,1318,2033,4649,7,2329,739,870,3325,18413,14218,3136,22.05654804
Bundoora - East,229,154,999,657,1077,2155,3,698,268,282,1466,8005,6257,1382,22.08726227
Lysterfield,169,103,741,512,879,1765,0,286,125,120,1181,5881,4580,1013,22.11790393
Riverside,158,112,724,428,942,1595,5,366,154,196,1111,5800,4493,994,22.12330292
Reservoir - East,690,371,2368,1491,2392,5005,15,2414,730,1014,3353,19840,15473,3429,22.161184
The Range - Allenstown,200,158,802,365,925,2050,4,580,136,442,1438,7106,5226,1160,22.19670876
Riddells Creek,94,89,440,333,648,908,0,184,100,91,778,3674,2805,623,22.21033868
Lesmurdie - Bickley - Carmel,261,229,1240,864,1571,2835,4,506,264,278,2100,10159,7781,1730,22.23364606
Parkwood - Ferndale - Lynwood,299,192,1355,798,1586,3212,10,527,322,360,1893,10553,8300,1846,22.24096386
Balgownie - Fairy Meadow,734,314,2165,1475,2856,4638,12,1561,656,661,3231,18316,14424,3213,22.27537438
Point Clare - Koolewong,190,99,670,542,886,1390,0,336,175,244,1050,5599,4305,959,22.27642276
Cygnet,120,92,436,298,572,991,0,283,110,171,671,3748,2906,648,22.29869236
Morphettville,365,260,1618,935,1763,3718,5,982,387,586,1974,12588,10028,2243,22.36737136
Berwick - South,713,338,2263,1824,2795,5314,10,1097,453,452,6096,21352,14804,3314,22.38584166
Wulagi,54,39,216,140,313,485,6,80,53,84,516,1980,1380,309,22.39130435
Bankstown - North,443,89,1335,843,935,3281,12,895,510,370,2994,11697,8333,1867,22.4048962
Keilor East,629,377,2973,1607,2666,5985,13,2674,788,1088,3922,22727,17717,3979,22.45865553
Ingleburn - Denham Court,675,162,1863,1148,2113,4551,18,985,507,490,3530,16042,12022,2700,22.45882549
Clayton South,324,95,987,549,763,2051,8,1050,418,330,1384,7967,6253,1406,22.4852071
Annandale,307,153,1060,605,1260,2846,0,342,167,135,1636,8529,6758,1520,22.4918615
Moil,57,36,166,100,234,414,0,105,42,67,372,1590,1151,259,22.50217202
Kyneton,271,232,961,686,1297,2071,11,766,222,422,1542,8469,6505,1464,22.5057648
Willunga,77,67,389,279,461,876,0,148,73,124,544,3034,2366,533,22.52747253
Fulham,61,44,325,207,332,687,0,182,65,106,404,2417,1907,430,22.54850551
Brighton (Qld),239,172,1016,705,1291,2123,0,571,196,314,1711,8339,6314,1427,22.60057016
Redhead,97,60,401,250,525,752,0,282,88,131,616,3213,2466,558,22.62773723
Mundingburra,88,63,389,239,428,899,0,233,44,231,539,3156,2386,540,22.63202012
Joondalup - Edgewater,317,226,1320,925,1700,3061,4,417,267,362,1712,10302,8228,1863,22.64219737
Rochedale South - Priestdale,360,223,1659,1123,2126,3571,9,557,278,292,2951,13141,9898,2242,22.65104061
Leanyer,116,87,440,295,592,987,6,202,104,96,725,3659,2838,643,22.65680056
Maitland - North,206,113,868,605,1229,1599,3,444,174,197,1623,7059,5239,1187,22.65699561
Rowville - Central,422,229,1693,1160,1782,3873,3,825,351,341,2368,13046,10337,2344,22.67582471
